"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"BM.GSR.TOTL.CD","Importaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)","Las importaciones de bienes, servicios e ingresos constituyen la suma de las importaciones de bienes (mercaderías), de servicios (no atribuibles a factores) y de pagos de ingresos (de los factores). Datos en US$ a precios actuales.","Fondo Monetario Internacional, Anuario de Estadísticas de balanza de pagos y archivos de datos.",
"BN.CAB.XOKA.CD","Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)","El saldo en cuenta corriente es la suma de las exportaciones netas de bienes, servicios, ingresos netos y transferencias corrientes netas. Datos en US$ a precios actuales.","Fondo Monetario Internacional, Anuario de Estadísticas de balanza de pagos y archivos de datos.",
"BX.GRT.EXTA.CD.WD","Donaciones, excluidas las destinadas a cooperación técnica (balanza de pagos, US$ corrientes)","Las donaciones son compromisos exigibles por ley que obligan a destinar un monto específico de fondos para desembolso, el cual no requiere reembolso. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo y OCDE.",
"BX.GRT.TECH.CD.WD","Donaciones, excluidas las destinadas a cooperación técnica (balanza de pagos, US$ corrientes)","Las donaciones para fines de cooperación técnica comprenden las donaciones independientes, que están destinadas a financiar la transferencia de conocimientos técnicos y gerenciales específicos o de tecnología con el fin de fortalecer la capacidad nacional en general, sin conexión a proyectos de inversión específicos, y las donaciones relacionadas con inversiones, que se otorgan para reforzar la capacidad de ejecutar proyectos de inversión específicos. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo y OCDE.",
"BX.GSR.TOTL.CD","Exportaciones de bienes, servicios e ingresos primario (balanza de pagos, US$ a precios actuales)","Las exportaciones de bienes, servicios e ingresos constituyen la suma de las exportaciones de bienes (mercaderías), de servicios (no atribuibles a los factores) y de recibos en concepto de ingresos (de los factores). Datos en US$ a precios actuales.","Fondo Monetario Internacional, Anuario de Estadísticas de balanza de pagos y archivos de datos.",
"BX.KLT.DINV.CD.WD","Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)","La inversión extranjera directa constituye la entrada neta de de inversiones para obtener un control de gestión duradero (por lo general, un 10% o más  de las acciones que confieren derecho de voto) de una empresa que funciona en un país que no es el del inversionista.  Es la suma del capital accionario, la reinversión de las ganancias, otras formas de capital a largo plazo y capital a corto plazo, tal como se describe en la balanza de pagos. Esta serie refleja el neto total, es decir, la IED neta en la economía informante proveniente de fuentes extranjeras menos la IED neta de la economía informante hacia el resto del mundo. Esta serie refleja las entradas netas en la economía informante y se divide por el PIB. Datos en US$ a precios actuales.","International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.",
"BX.KLT.DREM.CD.DT","Remesas de utilidades provenientes de la IED (US$ a precios actuales)","Las remesas de utilidades provenientes de la inversión extranjera directa comprenden los pagos de ingresos por inversiones directas (lado del débito), que consisten en ingresos del capital social (dividendos, utilidades de sucursales y utilidades reinvertidas), e ingresos procedentes de la deuda entre empresas (interés). Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
"BX.PEF.TOTL.CD.WD","Inversiones de cartera, entrada neta de capital (balanza de pagos, US$ a precios actuales)","Los valores en cartera incluyen la entrada neta de valores de renta variable, que no sean los registrados como inversiones directas e incluyen acciones, valores, recibos de depósito (estadounidenses o mundiales) y compras directas de acciones en los mercados de valores locales por parte de inversiones extranjeros. Datos en US$ a precios actuales.","International Monetary Fund, Balance of Payments database, and World Bank, Global Development Finance.",
"BX.TRF.PWKR.CD.DT","Transferencias personales y remuneración de empleados, recibidos (balanza de pagos, US$ a precios actuales)","Las transferencias personales comprenden todas las transferencias corrientes en efectivo o en especie realizadas por hogares residentes a no residentes o recibidas por hogares residentes de no residentes. Las transferencias personales incluyen, por lo tanto, todas las transferencias corrientes entre personas residentes y no residentes. Remuneración de los empleados se refiere a los ingresos de trabajadores fronterizos, de temporada y otros asalariados temporales que trabajan en una economía en la que no son residentes y los residentes contratados por entidades no residentes. Los datos son la suma de dos elementos definidos en la sexta edición del Manual de la Balanza de Pagos del FMI: transferencias personales y remuneración de los empleados. Los datos están en US$ a precios actuales.","Estimaciones del personal del Banco Mundial, basadas en datos del FMI sobre la balanza de pagos.",
"DT.AMT.BLAT.CD","PGP, bilateral (RDP, US$ a precios actuales)","La deuda bilateral incluye préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. Los reembolsos del principal son los montos reales del principal (amortización) que paga el prestatario en divisas, bienes o servicios durante el año especificado. Datos en US$ a precios actuales.","Banco Mundial, Flujos Mundiales de Financiamiento para el Desarrollo .",
